ðiː the
ɪnˈkriːs increasing
məˈdʒɑː.rə.t̬i majority
kəˈnek.tɪd connected
kraɪst christ
dæn dan
ˈɑː.stri.ə austria
əˈhed ahead
muːn moon
pɑːrˌtɪs.əˈpeɪ.ʃən participation
skiːm scheme
juːˈtɪl.ə.t̬i utility
ˈpriː.vjuː preview
flaɪ fly
ˈmæn.ɚ manner
ˈmeɪ.trɪks matrix
ˌkɑːm.bəˈneɪ.ʃən combination
əˈmend.mənt amendment
dɪˈspaɪt despite
streŋθ strength
ˈtɝː.ki turkey
ˈprɑː.pɚ proper
dɪˈstrɪb.juːt distributed
ˈsɪŋ.ə.pɔːr singapore
ˈdel.t̬ə delta
fɪr fear
ˈfiː.nɪks phoenix
kənˈven.ʃən convention
ˈprɪn.sə.pəl principal
ˈdɑː.t̬ɚ daughter
ˈstæn.dɪŋ standing
vwɑːˈjɝː voyeur
ˈkʌm.fɚt comfort
ˈkʌl·ərz colors
kept kept
ˈæl.fə alpha
əˈpiːl appeal
kruːz cruise
ˈboʊ.nəs bonus
ˌsɜ˞ː.t̬ə.fɪˈkeɪ.ʃən certification
ˈpriː.vi.əs.li previously
heɪ hey
ˈbʊk.mɑːrk bookmark
biːt beat
ˈhaʊs.hoʊld household
əˈdoʊ.bi adobe
ˈsmoʊ.kɪŋ smoking
ɑːmz arms
ˌæl.əˈbæm.ə alabama
tiː tea
əˈtʃiːv achieve
dres dress
səbˈskrɪp.ʃən subscription
ˈdiː.lɚ dealer
kənˈtem.pə.rer.i contemporary
skaɪ sky
ˈjuː.tɑː utah
ˌnɪrˈbaɪ nearby
rɑːm rom
ˈker.i carried
ˈhæp.ən happen
ɪkˈspoʊ.ʒɚ exposure
haɪd hide
ˈsɪɡ.nə.tʃɚ signature
ˈɡæm.blɪŋ gambling
ˈmɪl.ɚ miller
prəˈvɪʒ.ən provision
ˌaʊtˈdɔːrz outdoors
kloʊðz clothes
kɑːz caused
ˈlʌk.ʃɚ.i luxury
freɪmz frames
vaɪˈæɡ.rə viagra
ˈsɝː.tən.li certainly
ɪnˈdiːd indeed
ˈnuːzˌpeɪ.pɚ newspaper
tɔɪ toy
ˈsɝː.kɪt circuit
ˈleɪ.ɚ layer
ˈprɪn.t̬ɪd printed
sloʊ slow
rɪˈmuː.vəl removal
ˌlaɪ.əˈbɪl.ə.t̬i liability
ˈtreɪd.mɑːrk trademark
hɪp hip
naɪn nine
æd adding
kənˈtʌk.i kentucky
ˈmoʊst.li mostly
spɑːt spot
ˈtræk.bæk trackback
spend spend
ˈfæk.tɚ.i factory
ɪnˈtɪr.i.ɚ interior
rɪˈvaɪzd revised
ɡroʊ grow
ˈɑːp.tɪ.kəl optical
prəˈmoʊ.ʃən promotion
ˈrel.ə.t̬ɪv relative
əˈmeɪ.zɪŋ amazing
klɑːk clock
dɑːt dot
ˌeɪtʃ.aɪˈviː hiv
aɪˈden.t̬ə.t̬i identity
kənˈvɝː.ʒən conversion
ˈfiː.lɪŋ feeling
ˈhɪd.ən hidden
ˈriː.zən.ə.bəl reasonable
vɪkˈtɔːr.i.ə victoria
ˈsɪr.i.əl serial
rɪˈliːf relief
rɪˈvɪʒ.ən revision
ˈbrɑːd.bænd broadband
ˈɪn.flu.əns influence
ˈreɪ.ʃi.oʊ ratio
ˌpiː.diːˈeɪ pda
ɪmˈpɔːr.təns importance
reɪn rain
ˈɑːn.tu onto
ˌdiː.esˈel dsl
ˈplæn.ɪt planet
ˈwebmæstər webmaster
ˈres.ə.pi recipe
pɚˈmɪt permit
pruːf proof
ˌdiː.enˈeɪ dna
dɪf diff
ˈten.ɪs tennis
beɪs bass
prɪˈskrɪp.ʃən prescription
ˈbed.ruːm bedroom
ˈemp.ti empty
ˈɪn.stəns instance
hoʊl hole
raɪd ride
ˈlaɪ.sənst licensed
ɔːrˈlæn.doʊ orlando
spəˈsɪf.ɪ.kəl.i specifically
ˈbjʊr.oʊ bureau
meɪn maine
ˌrep.rɪˈzent represent
ˌkɑːn.sɚˈveɪ.ʃən conservation
per pair
aɪˈdiː.əl ideal
rɪˈkɔːrd recorded
dɑːn don
ˈfɪn.ɪʃt finished
ˈdɪn.ɚ dinner
ˈsɪd.ni sydney
stres stress
kriːm cream
ˌesˈes ss
jeə yeah
dɪˈskʌv.ɚ discover
ˌeɪˈpiː ap
luˌiː.ziˈæn.ə louisiana
fɔːrθ fourth
ˈmɑːr.kɪt.pleɪs marketplace
ˈiː.vəl evil
əˈwer aware
ʃeɪp shape
ˌiː.vəˈluː.ʃən evolution
ˈaɪə.rɪʃ irish
səˈdʒest suggested
ˌdʒiː.piːˈes gps
ɑːp op
rɪˈmeɪnz remains
kənˈsɝːnd concerned
ˈjʊr.oʊ euro
ˈɑː.pə.reɪ.t̬ɚ operator
dʒəˈner.ɪk generic
ɪnˌsaɪ.kləˈpiː.di.ə encyclopedia
ˈjuː.sɪdʒ usage
kæp cap
ɪŋk ink
kənˈtɪn.juː continuing
mɪkst mixed
ˈsen.səs census
ˌɪn.t̬ɚˈreɪ.ʃəl interracial
piːk peak
kəmˈpet̬.ə.t̬ɪv competitive
ɪɡˈzɪst exist
wiːl wheel
ˈtræn.zɪt transit
sɑːlt salt
kəmˈpækt compact
ˈpoʊ.ə.tri poetry
ˈtræk.ɪŋ tracking
ˈeɪn.dʒəl angel
bel bell
ˈkiː.pɪŋ keeping
ˌprep.əˈreɪ.ʃən preparation
əˈtempt attempt
rɪˈsiːv receiving
əˈkɔːr.dəns accordance
wɪtθ width
nɔɪz noise
fɚˈɡet forget
əˈreɪ array
dɪˈskʌs discussed
ˈæk.jɚ.ət accurate
ˈklaɪ.mət climate
pɪn pin
ˈpleɪˌsteɪ.ʃən playstation
ˈæl.kə.hɑːl alcohol
ɡriːk greek
ɪnˈstrʌk.ʃən instruction
ˈmæn.ədʒ managing
ˌæn.əˈteɪ.ʃən annotation
ˈsɪs.tɚ sister
rɑː raw
ˈwɑː.kɪŋ walking
ɪkˈspleɪn explain
ɪˈstæb.lɪʃ establish
nuː gnu
ˈhæp.ən happened
ɪkˈspres expressed
ɪkˈstent extent
ʃɑːrp sharp
ben ben
leɪn lane
ˈper.ə.ɡræf paragraph
kɪl kill
ˌmæθˈmæt̬.ɪks mathematics
ˌkɑːm.penˈseɪ.ʃən compensation
ˌsiːˈiː ce
ˈek.spɔːrt export
ˈer.kræft aircraft
ˈswiː.dən sweden
ˈkɑːn.flɪkt conflict
kənˈdʌkt conducted
ɪmˈplɔɪ.ɚ employer
əˈkɝː occur
pɚˈsen.t̬ɪdʒ percentage
ˌmɪs.ɪˈsɪp.i mississippi
dɪˈskraɪb describe
kənˈsɝːn concern
ˈbæk.ʌp backup
rɪˈkwest requested
kəˈnet̬.ɪ.kət connecticut
ˈher.ɪ.t̬ɪdʒ heritage
ɪˈmiː.di.ət immediate
ˈhoʊl.dɪŋ holding
ˈtrʌb.əl trouble
spred spread
koʊtʃ coach
ˌæɡ.rəˈkʌl.tʃɚ.əl agricultural
ɪkˈspænd expand
səˈpɔːr.t̬ɪŋ supporting
ˈɑː.di.əns audience
əˈsaɪn assigned
ˈdʒɔːr.dən jordan
ˈeɪ·dʒɪz ages
pɑːrˈtɪs.ə.peɪt participate
plʌɡ plug
ˈspeʃ.əl.ɪst specialist
kʊk cook
əˈfekt affect
ˈvɝː.dʒɪn virgin
ɪkˈspɪə.ri.ənst experienced
ɪnˌves.təˈɡeɪ.ʃən investigation
reɪz raised
hæt hat
ˌɪn.stəˈtuː.ʃən institution
daɪˈrekt directed
ˈsɝː.tʃɪŋ searching
ˈspɔːrt.ɪŋ sporting
ˈhel.pɪŋ helping
əˈfek.tɪd affected
lɪb lib
baɪk bike
ˈtoʊ.t̬əl.i totally
pleɪt plate
ˈɪn.də.keɪt indicate
blɑːnd blonde
ˌeɪˈbiː ab
proʊˈsiː.dɪŋz proceedings
ˈfeɪ.vər.ət favourite
trænsˈmɪʃ.ən transmission
luːz lose
ɔːrˈɡæn.ɪk organic
siːk seek
ɪkˈstriːm.li extremely
hoʊst hosted
kənˈsɝː.nɪŋ concerning
ɪˈkwɪv.əl.ənt equivalent
ˈkem.ə.stri chemistry
ˈtoʊn.i tony
ˈneɪ.bɚ.hʊd neighborhood
nəˈvɑː.də nevada
ˈtaɪ.lænd thailand
əˈdʒen.də agenda
ˈen.i.weɪ anyway
ədˈvaɪ.zɚ.i advisory
ˌsiː.eɪˈem cam
kəˈrɪk.jə.ləm curriculum
ˈlɑː.dʒɪk logic
ˈtem.plət template
prɪns prince
ˈsɝː.kəl circle
sɔɪl soil
ˈen.i.wer anywhere
saɪˈkɑː.lə.dʒi psychology
ətˈlæn.t̬ɪk atlantic
wet wet
ɪnˈves.t̬ɚ investor
aɪˌden.t̬ə.fəˈkeɪ.ʃən identification
ræm ram
ˈwaɪld.laɪf wildlife
mæt matt
ˌel.əˈmen.t̬ɚ.i elementary
ˈkʊk.ɪŋ cooking
ˈspiː.kɪŋ speaking
fɑːks fox
ʌnˈlɪm.ɪ.t̬ɪd unlimited
rɪˈspɑːnd respond
pleɪn plain
ˈek.sɪt exit
ˈen.t̬ɚ entered
ɪˈræn iran
ɑːrm arm
lɑːntʃ launch
weɪv wave
tʃek checking
ˈbel.dʒəm belgium
ˈprɪn.t̬ə.bəl printable
ˈhoʊ.li holy
ˈɡaɪ.dəns guidance
meʃ mesh
treɪl trail
ɪnˈfɔːrs.mənt enforcement
ˈsɪm.bəl symbol
ˈhaɪ.weɪ highway
ˈbʌd.i buddy
ˈhɑːrdˌkʌv.ɚ hardcover
əbˈzɝːv observed
diːn dean
ˈset̬ˌʌp setup
poʊl poll
ˈbʊk.ɪŋ booking
ˈɡlɑː.sɚ.i glossary
ˈfɪs.kəl fiscal
səˈleb.rə.t̬i celebrity
ˈden.vɚ denver
bɑːnd bond
əˈpen.dɪks appendix
ˈnoʊ.t̬ə.faɪ notify
bluːz blues
ˈtʃɑːk.lət chocolate
pʌb pub
ˈpɔːr.ʃən portion
skoʊp scope
ˈhæmp.ʃɚ hampshire
səˈplaɪ.ɚ supplier
ˈkɑː.t̬ən cotton
ˈbluː.tuːθ bluetooth
rɪˈkwaɪr.mənt requirement
baɪˈɑː.lə.dʒi biology
ˈden.t̬əl dental
kɪl killed
ˈbɔːr.dɚ border
ˈeɪn.ʃənt ancient
dɪˈbeɪt debate
ˈpreɡ.nən.si pregnancy
ˈɑːr.kən.sɑː arkansas
baɪˈɑː.ɡrə.fi biography
ˈliː.ʒɚ leisure
lɝːnd learned
ˈnoʊt.bʊk notebook
ɪkˈsplɔːr.ɚ explorer
hɪˈstɔːr.ɪk historic
əˈtætʃt attached
ˈoʊ.pən opened
ˈhʌz.bənd husband
dɪˈseɪ.bəld disabled
ˈɑː.θɚ.aɪzd authorized
ˈkreɪ.zi crazy
ˈʌpˌkʌm.ɪŋ upcoming
ˈbrɪt.ən britain
ˈkɑːn.sɚt concert
rɪˈtaɪr.mənt retirement
fəˈnæn·sɪŋ financing
ɪˈfɪʃ.ən.si efficiency
ˈkɑː.mə.di comedy
əˈdɑːp.tɪd adopted
ɪˈfɪʃ.ənt efficient
ˈweb.lɑːɡ weblog
ˈlɪn.i.ɚ linear
kəˈmɪt.mənt commitment
ˈspeʃ.əl.ti specialty
hɑːp hop
ˈker.i.ɚ carrier
ˈed.ɪt edited
ˈkɑːn.stənt constant
ˈviː.zə visa
maʊθ mouth
ˈdʒuː.ɪʃ jewish
ˈmiː.t̬ɚ meter
lɪŋk linked
ɡʌn gun
rɪˈflekt reflect
pjʊr pure
dɪˈlɪv.ɚ deliver
ˈwʌn.dɚ wonder
hel hell
fruːt fruit
ˈkwɑː.lə.faɪd qualified
rɪˈfɔːrm reform
lenz lens
triːt treated
dɪˈskʌv.ɚ.i discovery
drɑː draw
ˈklæs.ə.faɪd classified
rɪˈleɪt relating
əˈsuːm assume
ˈkɑːn.fə.dəns confidence
əˈlaɪ.əns alliance
ˌefˈem fm
kənˈfɝːm confirm
wɔːrm warm
ˈnaɪ.ðɚ neither
ˌɑːfˈlaɪn offline
liːvz leaves
ˌen.dʒɪˈnɪr engineer
ˈlaɪf.staɪl lifestyle
kənˈsɪs.tənt consistent
rɪˈpleɪs replace
ˈklɪr.əns clearance
ˈɪn.vən.tɔːr.i inventory
kənˈvɝː.t̬ɚ converter
sʌk suck
beɪb babe
riːtʃ reached
bɪˈkʌm.ɪŋ becoming
səˈfɑːr.i safari
əbˈdʒek.tɪv objective
ˈɪn.də.keɪt indicated
ˈʃʊɡ.ɚ sugar
kruː crew
sæm sam
stɪk stick
rɪˈleɪ.ʃən relation
ɪˈneɪ.bəld enabled
ˈʒɑːn.rə genre
slaɪd slide
mɑːnˈtæn.ə montana
ˌvɑː.lənˈtɪr volunteer
test tested
rɪr rear
ˌdem.əˈkræt̬.ɪk democratic
ɪnˈhæns enhance
ˈswɪt.sɚ.lənd switzerland
ɪɡˈzækt exact
baʊnd bound
pəˈræm.ə.t̬ɚ parameter
əˈdæp.tɚ adapter
ˈprɑː.ses.ɚ processor
noʊd node
ˈfɔːr.məl formal
kənˈtrɪb.juːt contribute
lɑːk lock
ˈhɑː.ki hockey
stɔːrm storm
ˈmaɪ.kroʊ micro
maɪl mile
boʊl bowl
suːˈpriːm supreme
ˌrek.əɡˈnɪʃ.ən recognition
ref ref
tæŋk tank
səbˈmɪʃ.ən submission
ˈes.tə.meɪt estimate
ɪnˈkɝː.ɪdʒ encourage
ˈneɪ.vi navy
kɪd kid
ˈreɡ.jə.lə.tɔːr.i regulatory
ɪnˈspek.ʃən inspection
ˈkæn.səl cancel
ˈter.ə.tɔːr.i territory
trænˈzæk.ʃən transaction
ˈmæn.tʃes.tɚ manchester
peɪnt paint
dɪˈleɪ delay
ˈpaɪ.lət pilot
ˈaʊt.let outlet
kənˈtɪn.ju.əs continuous
tʃek czech
rɪˈzʌl.tɪŋ resulting
ˈkeɪm.brɪdʒ cambridge
ɪˈnɪʃ.ə.t̬ɪv initiative
ˈnɑː.vəl novel
pæn pan
ˌek.səˈkjuː.ʃən execution
ˌdɪs.əˈbɪl.ə.t̬i disability
ˈʌl.trə ultra
ˈwɪn.ɚ winner
ˈaɪ.də.hoʊ idaho
ˈkɑːn.træk.tɚ contractor
ˌpiːˈeɪtʃ ph
ˈep.ə.soʊd episode
ɪɡˌzæm.əˈneɪ.ʃən examination
ˈpɑː.t̬ɚ potter
dɪʃ dish
ˈbʊl.ə.t̬ɪn bulletin
ˌpiːˈtiː pt
ˈmɑː.də.faɪ modify
ˈɑːks.fɚd oxford
ˈæd.əm adam
ˈtruː.li truly
ˈpeɪn.t̬ɪŋ painting
kəˈmɪt̬.ɪd committed
ɪkˈsten.sɪv extensive
əˈfɔːr.də.bəl affordable
ˈjuː.nə.vɝːs universe
ˈkæn.dɪ.dət candidate
ˈpæt.ənt patent
slɑːt slot
ˌaʊtˈstæn.dɪŋ outstanding
hɑː ha
pɚˈspek.tɪv perspective
wɑːtʃ watching
lɑːdʒ lodge
ˈmes.ɪn.dʒɚ messenger
ˈmɪr.ɚ mirror
ˈtɝː.nə.mənt tournament
kənˌsɪd.əˈreɪ.ʃən consideration
ˈstɝː.lɪŋ sterling
ˈkɝː.nəl kernel
ɡreɪ gray
ˈkæt̬.əl.ɑːɡ catalogue
ˌiːˈeɪ ea
tʃɑːrdʒd charged
brɑːd broad
taɪˈwɑːn taiwan
ˈtʃoʊ.zən chosen
ˈdem.oʊ demo
ɡriːs greece
swɪs swiss
ˈleɪ.bɚ labour
heɪt hate
ˈtɝː.mə.nəl terminal
naɪts nights
bɪˈhæf behalf
ˌker.ɪˈbiː.ən caribbean
ˈlɪk.wɪd liquid
raɪs rice
nəˈbræs.kə nebraska
luːp loop
ˈsæl.ɚ.i salary
ˌrez.ɚˈveɪ.ʃən reservation
ˈɡʊr.meɪ gourmet
ɡɑːrd guard
ˈprɑː.pɚ.li properly
ˈseɪ.vɪŋ saving
ˌen.efˈel nfl
rɪˈmeɪ.nɪŋ remaining
ˈem.paɪr empire
rɪˈzuːm resume
ˈtwen.t̬i twenty
ˈnuː.li newly
reɪz raise
prɪˈper prepare
ˈæv.ə.tɑːr avatar
dɪˈpend depending
ɪˈliː.ɡəl illegal
ɪkˈspæn.ʃən expansion
ˈver.i vary
roʊm rome
ˈer.əb arab
help helped
prɪˈmɪr premier
təˈmɔːr.oʊ tomorrow
ˈpɝː.tʃəs purchased
mɪlk milk
dɪˈsaɪd decide
kənˈsent consent
ˈdræm.ə drama
ˈvɪz.ɪt visiting
pɚˈfɔːrm performing
ˌdaʊnˈtaʊn downtown
ˈkiː.bɔːrd keyboard
ˈkɑːn.test contest
kəˈlek.tɪd collected
buːt boot
ˈsuː.t̬ə.bəl suitable
ˌæb.səˈluːt.li absolutely
lʌntʃ lunch
ˈdɪl.doʊ dildo
ˈɑː.dɪt audit
pʊʃ push
ˈtʃeɪm.bɚ chamber
ˈɡɪn.i guinea
ˈmʌs.əl muscle
ˈfiː.tʃɚ featuring
ˈɪm.plə.ment implement
klɪk clicking
ˈskedʒ.uːld scheduled
poʊlz polls
ˈtɪp.ɪ.kəl typical
ˈtaʊ.ɚ tower
jʊrz yours
sʌm sum
ˈkæl.kjə.leɪ.t̬ɚ calculator
sɪɡˈnɪf.ə.kənt.li significantly
ˈtʃɪk.ɪn chicken
ˈtem.pə.rer.i temporary
əˈtend attend
ˈʃaʊ.ɚ shower
təˈnaɪt tonight
dɪr dear
səˈfɪʃ.ənt sufficient
ʃel shell
ˈprɑː.vɪns province
ˈkæθ.əl.ɪk catholic
oʊk oak
væt vat
əˈwer.nəs awareness
vænˈkuː.vɚ vancouver
ˈɡʌv.ɚ.nɚ governor
bɪr beer
siːm seemed
ˌkɑːn.trɪˈbjuː.ʃən contribution
ˈmeʒ.ɚ.mənt measurement
ˈswɪm.ɪŋ swimming
ˈspaɪ.wer spyware
ˈfɔːr.mjə.lə formula
ˌkɑːn.stəˈtuː.ʃən constitution
ˈpæk.ɪ.dʒɪŋ packaging
ˈsoʊ.lɚ solar
kætʃ catch
ˈpæk.ɪ.stæn pakistan
ˌpiːˈes ps
rɪˈlaɪ.ə.bəl reliable
ˌkɑːn.sʌlˈteɪ.ʃən consultation
ˌnɔːrθˈwest northwest
sɝː sir
daʊt doubt
ɝːn earn
ˈfaɪn.dɚ finder
ʌnˈeɪ.bəl unable
ˈklæs.ruːm classroom
dɪˈmɑː.krə.si democracy
ˈwɑːlˌpeɪ.pɚ wallpaper
ˈmɝː.tʃən.daɪs merchandise
rɪˈzɪs.təns resistance
məˈmɔːr.i.əl memorial
ˈvɪz.ɪ.t̬ɚ visitor
twɪn twin
fɔːrθ forth
ɪnˈsɝːt insert
ˈbɔːl.tə.mɔːr baltimore
ˈɡeɪt.weɪ gateway
əˈlʌmˌnɑɪ alumni
ˈdrɑː.ɪŋ drawing
ˈʃɑːr.lət charlotte
ˈɔːr.dɚd ordered
ˌbaɪ.əˈlɑː.dʒɪ.kəl biological
ˈfaɪ.t̬ɪŋ fighting
trænˈzɪʃ.ən transition
spaɪ spy
roʊˈmæns romance
ˈɪn.strə.mənt instrument
splɪt split
ˈhev.ən heaven
ˈpreɡ.nənt pregnant
twaɪs twice
ˌklæs.ə.fəˈkeɪ.ʃən classification
ˈfoʊ.kəst focused
ˈiː.dʒɪpt egypt
fɪˈzɪʃ.ən physician
ˈhɑː.li.wʊd hollywood
ˈbɑːr.ɡɪn bargain
ˈsel.jə.lɚ cellular
ˈnɔːr.weɪ norway
vɚˈmɑːnt vermont
æsk asking
ˈnɔːr.mə.li normally
loʊ lo
ˈspɪr.ə.tʃu.əl spiritual
ˈhʌn.t̬ɪŋ hunting
ˌdaɪ.əˈbiː.t̬əs diabetes
suːt suit
mɪl ml
ʃɪft shift
tʃɪp chip
sɪt sit
ˈkʌt̬.ɪŋ cutting
waʊ wow
ˈflek.sə.bəl flexible
lʌv loved
ˈmæp.ɪŋ mapping
ˈnuː.mə.rəs numerous
ˈrel.ə.t̬ɪv.li relatively
ˌsæt̬.ɪsˈfæk.ʃən satisfaction
tʃɑːr char
ˈpɪts.bɜ˞ːɡ pittsburgh
səˈpɪr.i.ɚ superior
prɪˈfɝːd preferred
seɪv saved
kɑːrˈtuːn cartoon
ˌɪn.t̬əlˈek.tʃu.əl intellectual
ˈɡræn.t̬ɪd granted
ˈkɑːr.bən carbon
ˈspen.dɪŋ spending
ˈkʌm.fɚ.t̬ə.bəl comfortable
mæɡˈnet̬.ɪk magnetic
ˌɪn.t̬ɚˈræk.ʃən interaction
ˈlɪs.ən listening
əˈfek.tɪv.li effectively
ˈredʒ.ə.stri registry
ˈkraɪ.sɪs crisis
ˈaʊt.lʊk outlook
ˈmæs.ɪv massive
ˈden.mɑːrk denmark
braɪt bright
triːt treat
ˈhed.ɚ header
ˈpɑː.vɚ.t̬i poverty
fɔːrm formed
piˈæn.oʊ piano
ˈek.oʊ echo
ɡrɪd grid
ɪkˌsper.əˈmen.t̬əl experimental
ˌrev.əˈluː.ʃən revolution
kənˌsɑː.ləˈdeɪ.ʃən consolidation
ˈplæz.mə plasma
əˈlaʊ allowing
ˈɝː.nɪŋz earnings
vɔɪp voip
ˈmɪs.tɚ.i mystery
ˈlænd.skeɪp landscape
dɪˈpen.dənt dependent
məˈkæn.ɪ.kəl mechanical
ˈdʒɝː.ni journey
ˈdel.ə.wer delaware
ˈbɪd.ɪŋ bidding
ˈbæn.ɚ banner
ˈæp.lə.kənt applicant
ˈtʃɑːr.t̬ɚ charter
fɪɡ fig
koʊˌɑː.pəˈreɪ.ʃən cooperation
ˌæk.wəˈzɪʃ.ən acquisition
ˈɪm.plə.ment implemented
ˌesˈef sf
ˈrek.əɡ.naɪzd recognized
ˈblɑː.ɡɚ blogger
ˌnoʊ.t̬ə.fəˈkeɪ.ʃən notification
ˈkɪl·əˌɡræm kg
stændz stands
tiːtʃ teach
ˈræp.ɪd rapid
pʊl pull
ˈher.i hairy
dɪˈvɝː.sə.t̬i diversity
ˈkliːv.lənd cleveland
rɪˈvɝːs reverse
dɪˈpɑː.zɪt deposit
ˈsem.ə.nɑːr seminar
ˌlætˈiː.nə latina
ˈnæs.ə nasa
ˈspes.ə.faɪ specify
əkˌses.əˈbɪl.ə.t̬i accessibility
dʌtʃ dutch
ˈsen.sə.t̬ɪv sensitive
tæb tab
ˈraʊ.t̬ɚ router
ˈkɑːn.kriːt concrete
esˈaɪ si
ˈed.ɪ.t̬ɪŋ editing
ˈpoʊ.lənd poland
ˈfoʊl.dɚ folder
ˌsiː.esˈes css
kəmˈpliː.ʃən completion
ʌpˈloʊd upload
pʌls pulse
tekˈniːk technique
ˈvoʊ.t̬ɪŋ voting
ˈkæl.kjə.leɪt calculate
ˌemˈsiː mc
dəˈtrɔɪt detroit
ˈbrɑːd.kæst broadcast
ˈmet.roʊ metro
ˌæn.əˈvɝː.sɚ.i anniversary
strɪp strip
ˌspes.ə.fəˈkeɪ.ʃən specification
pɝːl pearl
ˈæk.sə.dənt accident
nɪk nick
əkˈses.ə.bəl accessible
əkˈses.ər.i accessory
ˈrez.ə.dənt resident
plɑːt plot
ˈpɑː.sə.bli possibly
ˈer.laɪn airline
ˈtɪp.ɪ.kəl.i typically
ˌrep.rɪ.zenˈteɪ.ʃən representation
rɪˈɡɑːrd regard
pʌmp pump
smuːð smooth
straɪk strike
kənˈsʌmp.ʃən consumption
ˈbɜ˞ː.mɪŋ.hæm birmingham
flæʃ flashing
ˌelˈpiː lp
ˈner.oʊ narrow
ˌæf.tɚˈnuːn afternoon
θret threat
ˈsɪt̬.ɪŋ sitting
kənˈsʌl.tənt consultant
kənˈtroʊ.lɚ controller
ˈoʊ.nɚ.ʃɪp ownership
ˈpiː.nɪs penis
ˈledʒ.ə.slə.t̬ɪv legislative
ˌvjetˈnæm vietnam
ˈtreɪ.lɚ trailer
ˈkæs.əl castle
mɪs missed
məˈleɪ.ʒə malaysia
ˌʌn.səbˈskraɪb unsubscribe
ænˈtiːk antique
ˈwɪl.ɪŋ willing
məˈlek.jə.lɚ molecular
ˈæk.tɪŋ acting
hedz heads
stɔːr stored
ɪɡˈzæm exam
ˈrez.ə.dəns residence
ˈden.sə.t̬i density
ˈhʌn.drəd hundred
streɪndʒ strange
səˈsteɪ.nə.bəl sustainable
stəˈtɪs.tɪ.kəl statistical
ˈmen.ʃən mention
ˌɪn.əˈveɪ.ʃən innovation
ɡreɪ grey
ˈper.ə.lel parallel
əˈmend amended
ˈɑː.pə.reɪt operate
boʊld bold
ˈbæθ.ruːm bathroom
ˈsteɪ.bəl stable
ˈɑː.pɚ.ə opera
ˈles.ən lesson
ˈsɪn.ə.mə cinema
ˈæs.et asset
skæn scan
ˈdrɪŋ.kɪŋ drinking
riˈæk.ʃən reaction
blæŋk blank
ɪnˈhænst enhanced
ɪnˈtaɪ.t̬əld entitled
səˈvɪr severe
ˈdʒen.ə.reɪt generate
ˈsteɪn.ləs stainless
dɪˈlʌks deluxe
ˈhjuː.mɚ humor
ˈeɪ.dʒɪd aged
ɪkˈsep.ʃən exception
lɪv lived
duː- duration
bʌlk bulk
səkˈses.fəl.i successfully
ˌɪn.dəˈniː.ʒə indonesia
pɚˈsuː.ənt pursuant
ˈfæb.rɪk fabric
praɪˈmer.əl.i primarily
taɪt tight
ˈkɑːn.træst contrast
ˌrek.ə.menˈdeɪ.ʃən recommendation
ˈflaɪ.ɪŋ flying
rɪˈkruːt.mənt recruitment
sɪn sin
bɝːˈlɪn berlin
kjuːt cute
ˈɔːr.ɡən.aɪzd organized
ˌbiːˈeɪ ba
ˈper.ə para
əˈdɑːp.ʃən adoption
ɪmˈpruːv improving
ˌsiːˈɑːr cr
ɪkˈspen.sɪv expensive
ˈkæp.tʃɚ capture
ˈbʌf.ə.loʊ buffalo
pleɪn plane
ɪkˈspleɪn explained
siːd seed
dɪˈzaɪr desire
ˌek.spɝːˈtiːz expertise
ˈmek.ə.nɪ.zəm mechanism
ˈkæm.pɪŋ camping
ˈdʒuː.əl.ri jewellery
ˈwel.fer welfare
pɪr peer
kɑːt caught
ɪˈven.tʃu.ə.li eventually
mɑːrkt marked
ˈdrɪv.ən driven
ˈmeʒ.ɚd measured
ˈbɑː.t̬əl bottle
kənˈsɪd.ɚ.ɪŋ considering
ˈɪn.ə.veɪ.t̬ɪv innovative
məˈsɑːʒ massage
ˈrʌb.ɚ rubber
kənˈkluː.ʒən conclusion
ˈkloʊz.zɪŋ closing
ˈθaʊ.zənd thousand
miːt meat
ˈledʒ.ənd legend
ɡreɪs grace
ˈpaɪ.θɑːn python
ˈmɑːn.stɚ monster
bæŋ bang
ˈvɪl.ə villa
boʊn bone
kəˌlæb.əˈreɪ.ʃən collaboration
dɪˈtek.ʃən detection
ˈɪn.ɚ inner
fɔːrˈmeɪ.ʃən formation
tuːˈtɔːr.i.əl tutorial
med med
ˈen.t̬ə.t̬i entity
ɡeɪt gate
ˈhoʊl.dɚ holder
ˈmɑː.də.reɪ.t̬ɚ moderator
ˈset̬.əl.mənt settlement
ˈpɔːr.tʃə.ɡəl portugal
ˈroʊ.mən roman
ˈvæl.jə.bəl valuable
ɪˈrɑː.t̬ɪk erotic
toʊn tone
ˈeθ·ɪks ethics
fɔːˈrev.ɚ forever
ˈdræɡ.ən dragon
ˈbɪz.i busy
ˈkæp.tən captain
fænˈtæs.tɪk fantastic
ɪˈmædʒ.ɪn imagine
ˈhiː.t̬ɪŋ heating
leɡ leg
nek neck
ˌeɪtʃˈdiː hd
wɪŋ wing
ˌeɪ.biːˈsiː abc
ˈster.i.oʊ stereo
əˈpɔɪn.t̬ɪd appointed
teɪst taste
ˈdiː.lɪŋ dealing
kəˈmɪt commit
ˈtaɪ.ni tiny
ˌɑː.pəˈreɪ.ʃən.əl operational
reɪl rail
